SRR1178345	SRR1178351	SRR1178352	SRR1178353	SRR1178355	SRR1178356	SRR1178357	SRR1178354	SRR1178346	SRR1178358	SRR1178347	SRR1178348	SRR1178349	SRR1178350
ASV.369	0	20	0	0	0	0	0	0	0	0	0	0	0	0
ASV.370	0	14	0	0	0	0	0	0	0	0	0	0	6	0
ASV.371	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ASV.372	0	0	0	0	0	0	20	0	0	0	0	0	0	0
ASV.373	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV.374	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV.375	0	0	0	0	0	0	0	0	0	0	20	0	0	0
ASV.376	0	0	0	0	0	0	0	0	0	0	20	0	0	0
ASV.378	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV.379	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV.380	0	0	0	0	0	0	0	0	0	0	0	0	0	20
ASV.381	8	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV.382	0	0	0	0	0	19	0	0	0	0	0	0	0	0
ASV.383	0	0	0	0	0	0	0	0	0	0	0	0	19	0
ASV.384	0	0	0	0	0	0	0	0	0	0	0	0	19	0
ASV.385	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ASV.387	18	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.388	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASV.389	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASV.390	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASV.391	0	0	0	0	0	0	0	0	0	0	0	0	18	0
ASV.392	0	0	0	0	17	0	0	0	0	0	0	0	0	0
ASV.393	0	0	0	0	17	0	0	0	0	0	0	0	0	0
ASV.394	0	0	0	0	17	0	0	0	0	0	0	0	0	0
ASV.395	0	0	0	0	0	0	0	0	17	0	0	0	0	0
ASV.397	0	0	0	0	0	0	0	0	17	0	0	0	0	0
ASV.398	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.399	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.400	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.401	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.402	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.403	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV.404	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV.405	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV.406	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV.407	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV.408	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV.409	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV.410	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV.411	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ASV.412	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ASV.413	0	0	0	0	0	0	0	0	0	0	16	0	0	0
ASV.414	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ASV.415	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ASV.416	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ASV.418	0	0	0	0	15	0	0	0	0	0	0	0	0	0
ASV.420	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV.421	0	0	0	0	0	0	0	0	0	0	15	0	0	0
ASV.423	0	0	0	0	0	0	0	0	0	0	0	15	0	0
ASV.424	0	0	0	0	0	0	0	0	0	0	0	0	15	0
ASV.425	0	0	0	0	0	0	0	0	0	0	0	0	15	0
ASV.426	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.428	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV.430	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV.431	0	0	0	0	14	0	0	0	0	0	0	0	0	0
