SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.571	0	0	0	0	0	0	0	0	0	0	51	0	0	0
ASV.578	0	0	0	0	0	50	0	0	0	0	0	0	0	0
ASV.579	0	0	0	0	0	50	0	0	0	0	0	0	0	0
ASV.581	0	0	0	0	0	0	0	50	0	0	0	0	0	0
ASV.583	0	0	0	0	0	0	0	50	0	0	0	0	0	0
ASV.586	0	0	0	0	0	0	0	0	0	50	0	0	0	0
ASV.591	0	0	0	0	0	49	0	0	0	0	0	0	0	0
ASV.593	0	0	0	0	0	49	0	0	0	0	0	0	0	0
ASV.600	0	0	0	0	0	0	0	0	0	0	0	0	49	0
ASV.604	0	0	0	0	0	0	0	0	0	0	0	0	0	49
ASV.606	12	0	0	0	0	0	0	0	27	0	9	0	0	0
ASV.610	0	0	0	0	0	48	0	0	0	0	0	0	0	0
ASV.612	0	0	0	0	0	0	0	0	0	48	0	0	0	0
ASV.615	0	0	0	0	0	0	0	0	0	0	0	0	0	48
ASV.620	0	0	0	29	0	18	0	0	0	0	0	0	0	0
ASV.622	0	0	0	0	0	47	0	0	0	0	0	0	0	0
ASV.624	0	0	0	0	0	0	0	47	0	0	0	0	0	0
ASV.625	0	0	0	0	0	0	0	0	0	47	0	0	0	0
ASV.627	0	0	0	0	0	0	0	0	0	0	0	0	0	47
ASV.628	0	0	0	0	0	0	0	0	0	0	0	0	0	47
ASV.631	0	0	0	2	0	0	0	0	36	0	8	0	0	0
ASV.635	0	26	0	0	0	0	0	0	0	19	0	0	0	0
ASV.636	0	0	0	0	43	0	0	0	0	0	2	0	0	0
ASV.638	0	0	0	0	0	45	0	0	0	0	0	0	0	0
ASV.639	0	0	0	0	0	25	0	20	0	0	0	0	0	0
ASV.644	0	0	0	0	0	44	0	0	0	0	0	0	0	0
ASV.646	0	0	0	0	0	44	0	0	0	0	0	0	0	0
ASV.649	0	0	0	0	0	0	0	44	0	0	0	0	0	0
ASV.650	0	0	0	0	0	0	0	44	0	0	0	0	0	0
ASV.652	0	0	0	0	0	0	0	0	0	0	0	0	0	44
ASV.653	20	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV.655	0	0	0	0	0	43	0	0	0	0	0	0	0	0
ASV.657	0	0	0	0	0	43	0	0	0	0	0	0	0	0
ASV.659	0	0	0	0	0	0	0	0	0	43	0	0	0	0
ASV.660	0	0	0	0	0	0	0	0	0	43	0	0	0	0
ASV.661	0	0	0	0	0	0	0	0	0	0	0	0	0	43
ASV.663	0	0	0	6	0	36	0	0	0	0	0	0	0	0
ASV.665	0	0	0	0	0	0	0	42	0	0	0	0	0	0
ASV.666	0	0	0	0	0	0	0	0	42	0	0	0	0	0
ASV.669	0	0	0	0	0	7	0	0	0	34	0	0	0	0
ASV.670	0	0	0	0	0	41	0	0	0	0	0	0	0	0
ASV.675	19	0	0	0	0	0	0	0	13	0	8	0	0	0
ASV.676	0	0	0	40	0	0	0	0	0	0	0	0	0	0
ASV.677	0	0	0	40	0	0	0	0	0	0	0	0	0	0
