DRR090493	DRR090494	DRR090495	DRR090496	DRR090497	DRR090498	DRR090499	DRR090500	DRR090501	DRR090502	DRR090503	DRR090504	DRR090505	DRR090506	DRR090507	DRR090508	DRR090509	DRR090510	DRR090511	DRR090512
ASV.350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	92	0
ASV.351	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0
ASV.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0
ASV.359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243
ASV.368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	135
ASV.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234
ASV.371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0
ASV.374	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0
ASV.379	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0
ASV.386	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	119	0
ASV.390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0
ASV.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0
ASV.397	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.403	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	34	0
ASV.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
ASV.410	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0
ASV.411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	87	0	55
ASV.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208
ASV.414	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0
ASV.415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0
ASV.418	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0
ASV.420	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0
ASV.421	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0
ASV.423	0	94	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
ASV.425	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0
ASV.426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0
ASV.427	91	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	68	0
ASV.436	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0
ASV.437	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0
ASV.438	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	159	0
ASV.441	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.444	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.445	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0
ASV.447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
ASV.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183
ASV.456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0
ASV.463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
ASV.465	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0
ASV.473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0
