SampleWF,Sample,Study,tag,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length
NEMO.1.no_SRA___Turk031.61159,Turk031.61159,NEMO,NEMO:1:no_SRA,  4506,  4420,  4420,  4420,  4420
NEMO.1.no_SRA___Turk032.61380,Turk032.61380,NEMO,NEMO:1:no_SRA, 30447, 28689, 28682, 28646, 28632
NEMO.1.no_SRA___Turk033.61837,Turk033.61837,NEMO,NEMO:1:no_SRA, 48351, 38561, 38480, 38314, 37801
NEMO.1.no_SRA___Turk034.64519,Turk034.64519,NEMO,NEMO:1:no_SRA, 41158, 40183, 40081, 39931, 39931
NEMO.1.no_SRA___Turk037.60692,Turk037.60692,NEMO,NEMO:1:no_SRA, 33742, 14203, 12825, 12219,  9195
NEMO.1.no_SRA___Turk038.60909,Turk038.60909,NEMO,NEMO:1:no_SRA, 29472, 26439, 26279, 26279, 26087
NEMO.1.no_SRA___Turk039.61091,Turk039.61091,NEMO,NEMO:1:no_SRA, 36886, 35902, 35869, 35815, 35786
NEMO.1.no_SRA___Turk040.61167,Turk040.61167,NEMO,NEMO:1:no_SRA, 20827, 19470, 17467, 17043, 16542
NEMO.1.no_SRA___Turk041.61388,Turk041.61388,NEMO,NEMO:1:no_SRA, 39045, 37221, 36456, 35962, 28651
NEMO.1.no_SRA___Turk042.61845,Turk042.61845,NEMO,NEMO:1:no_SRA, 12887, 10903,  9902,  9531,  8773
NEMO.1.no_SRA___Turk043.64524,Turk043.64524,NEMO,NEMO:1:no_SRA, 48998, 47914, 47786, 47709, 47666
NEMO.1.no_SRA___Turk045.64121,Turk045.64121,NEMO,NEMO:1:no_SRA, 24767,  9561,  8981,  8495,  5527
NEMO.1.no_SRA___Turk046.60917,Turk046.60917,NEMO,NEMO:1:no_SRA, 35134, 31055, 30166, 30078, 29555
NEMO.1.no_SRA___Turk047.61099,Turk047.61099,NEMO,NEMO:1:no_SRA, 31509, 28667, 27927, 27414, 24719
