SRR13240302	SRR13240303	SRR13240304	SRR13240305	SRR13240306	SRR13240307	SRR13240308	SRR13240309	SRR13240310	SRR13240311
ASV.439	0	0	11	87	0	0	0	0	0	0
ASV.440	0	0	0	98	0	0	0	0	0	0
ASV.442	0	0	0	0	0	0	0	98	0	0
ASV.443	31	0	0	0	0	0	0	0	0	66
ASV.444	0	0	0	0	0	0	97	0	0	0
ASV.445	0	0	0	0	0	0	0	0	97	0
ASV.446	96	0	0	0	0	0	0	0	0	0
ASV.447	0	96	0	0	0	0	0	0	0	0
ASV.448	0	0	0	96	0	0	0	0	0	0
ASV.449	0	0	0	96	0	0	0	0	0	0
ASV.450	0	0	0	0	0	0	96	0	0	0
ASV.451	0	0	0	0	0	0	42	0	54	0
ASV.452	71	0	0	0	0	0	0	0	0	24
ASV.453	57	0	0	38	0	0	0	0	0	0
ASV.454	95	0	0	0	0	0	0	0	0	0
ASV.455	95	0	0	0	0	0	0	0	0	0
ASV.456	74	0	0	0	0	0	0	0	0	21
ASV.457	0	0	0	95	0	0	0	0	0	0
ASV.458	0	0	0	0	0	0	0	0	95	0
ASV.459	94	0	0	0	0	0	0	0	0	0
ASV.460	94	0	0	0	0	0	0	0	0	0
ASV.461	63	0	0	0	0	0	0	0	0	31
ASV.462	0	94	0	0	0	0	0	0	0	0
ASV.463	0	0	0	94	0	0	0	0	0	0
ASV.464	0	0	0	94	0	0	0	0	0	0
ASV.465	0	0	0	0	0	0	0	94	0	0
ASV.467	39	0	0	39	0	0	0	0	0	15
ASV.468	93	0	0	0	0	0	0	0	0	0
ASV.469	0	93	0	0	0	0	0	0	0	0
ASV.470	0	0	13	80	0	0	0	0	0	0
ASV.471	0	0	0	93	0	0	0	0	0	0
ASV.472	0	0	0	93	0	0	0	0	0	0
ASV.473	0	0	0	0	42	0	51	0	0	0
ASV.474	0	0	0	0	0	0	93	0	0	0
ASV.475	92	0	0	0	0	0	0	0	0	0
ASV.476	71	0	0	0	0	0	0	0	0	21
ASV.477	51	0	0	2	0	0	0	0	0	39
ASV.478	0	69	23	0	0	0	0	0	0	0
ASV.479	0	0	0	92	0	0	0	0	0	0
ASV.480	0	0	0	0	92	0	0	0	0	0
ASV.481	91	0	0	0	0	0	0	0	0	0
ASV.482	80	0	11	0	0	0	0	0	0	0
ASV.483	0	49	0	42	0	0	0	0	0	0
ASV.484	0	42	49	0	0	0	0	0	0	0
ASV.485	0	0	0	59	0	0	0	0	0	32
ASV.486	0	0	0	0	91	0	0	0	0	0
ASV.487	24	0	0	0	0	0	0	0	0	66
ASV.488	45	0	45	0	0	0	0	0	0	0
ASV.489	0	90	0	0	0	0	0	0	0	0
ASV.490	0	0	49	41	0	0	0	0	0	0
ASV.491	0	0	0	90	0	0	0	0	0	0
ASV.492	0	0	0	90	0	0	0	0	0	0
ASV.493	0	0	0	0	0	0	0	0	90	0
ASV.494	89	0	0	0	0	0	0	0	0	0
ASV.495	31	0	0	0	0	0	0	0	0	58
ASV.496	0	58	31	0	0	0	0	0	0	0
ASV.497	0	0	0	89	0	0	0	0	0	0
ASV.498	0	0	0	89	0	0	0	0	0	0
ASV.499	0	0	0	88	0	0	0	0	0	0
ASV.500	0	0	0	88	0	0	0	0	0	0
ASV.501	0	0	0	0	0	0	88	0	0	0
ASV.502	0	0	0	0	0	0	88	0	0	0
ASV.503	49	0	0	38	0	0	0	0	0	0
ASV.504	87	0	0	0	0	0	0	0	0	0
ASV.505	87	0	0	0	0	0	0	0	0	0
ASV.506	0	87	0	0	0	0	0	0	0	0
ASV.507	0	0	0	87	0	0	0	0	0	0
ASV.508	0	0	0	0	87	0	0	0	0	0
ASV.509	0	0	0	0	0	0	0	0	87	0
ASV.510	86	0	0	0	0	0	0	0	0	0
ASV.511	0	0	0	86	0	0	0	0	0	0
ASV.512	0	0	0	0	0	0	86	0	0	0
ASV.515	66	0	0	0	0	0	0	0	0	19
ASV.516	0	85	0	0	0	0	0	0	0	0
ASV.517	0	0	19	66	0	0	0	0	0	0
ASV.518	0	0	0	85	0	0	0	0	0	0
ASV.519	0	0	0	85	0	0	0	0	0	0
ASV.520	0	0	0	0	85	0	0	0	0	0
ASV.521	0	0	0	0	0	0	85	0	0	0
ASV.523	84	0	0	0	0	0	0	0	0	0
ASV.524	62	0	22	0	0	0	0	0	0	0
ASV.525	84	0	0	0	0	0	0	0	0	0
ASV.526	48	0	6	30	0	0	0	0	0	0
ASV.527	84	0	0	0	0	0	0	0	0	0
ASV.528	0	28	12	44	0	0	0	0	0	0
ASV.529	0	0	0	84	0	0	0	0	0	0
ASV.530	0	0	0	18	0	0	0	0	0	66
ASV.531	83	0	0	0	0	0	0	0	0	0
ASV.532	83	0	0	0	0	0	0	0	0	0
ASV.533	83	0	0	0	0	0	0	0	0	0
ASV.534	0	45	7	31	0	0	0	0	0	0
ASV.535	0	0	0	83	0	0	0	0	0	0
ASV.536	0	0	0	66	0	0	0	0	0	17
ASV.537	65	0	0	17	0	0	0	0	0	0
ASV.538	62	0	0	0	0	0	0	0	0	20
ASV.539	75	0	7	0	0	0	0	0	0	0
ASV.540	48	0	0	9	0	0	0	0	0	25
ASV.541	82	0	0	0	0	0	0	0	0	0
ASV.542	67	0	15	0	0	0	0	0	0	0
ASV.543	0	0	23	59	0	0	0	0	0	0
ASV.544	0	0	31	51	0	0	0	0	0	0
ASV.545	0	0	0	82	0	0	0	0	0	0
ASV.546	0	0	0	82	0	0	0	0	0	0
ASV.547	0	0	0	82	0	0	0	0	0	0
ASV.548	0	0	0	0	0	0	0	68	14	0
ASV.549	0	0	0	0	0	0	0	0	82	0
ASV.550	0	0	0	0	0	0	0	0	82	0
ASV.551	0	0	0	0	0	0	0	0	0	82
ASV.552	0	81	0	0	0	0	0	0	0	0
ASV.553	0	37	0	0	0	0	0	0	0	44
ASV.554	0	0	81	0	0	0	0	0	0	0
ASV.555	0	0	30	51	0	0	0	0	0	0
ASV.556	0	0	0	81	0	0	0	0	0	0
ASV.557	0	0	0	0	0	0	55	26	0	0
ASV.558	0	0	0	0	0	0	0	81	0	0
ASV.560	80	0	0	0	0	0	0	0	0	0
ASV.561	80	0	0	0	0	0	0	0	0	0
ASV.562	80	0	0	0	0	0	0	0	0	0
ASV.563	80	0	0	0	0	0	0	0	0	0
ASV.564	0	80	0	0	0	0	0	0	0	0
ASV.565	0	0	80	0	0	0	0	0	0	0
ASV.566	0	0	0	80	0	0	0	0	0	0
ASV.567	0	0	0	80	0	0	0	0	0	0
ASV.568	0	0	0	80	0	0	0	0	0	0
ASV.570	0	0	0	0	0	0	59	21	0	0
ASV.571	79	0	0	0	0	0	0	0	0	0
ASV.572	79	0	0	0	0	0	0	0	0	0
ASV.573	15	0	0	0	0	0	0	0	0	64
ASV.574	79	0	0	0	0	0	0	0	0	0
ASV.575	0	79	0	0	0	0	0	0	0	0
