asvLen	totReads	numSamps
ASV.1223	328	39	1
ASV.1224	337	39	1
ASV.1225	325	39	2
ASV.1227	348	39	2
ASV.1228	281	39	3
ASV.1229	289	39	2
ASV.1230	325	39	1
ASV.1231	375	39	1
ASV.1232	350	39	1
ASV.1234	253	39	1
ASV.1236	200	39	1
ASV.1238	223	39	1
ASV.1240	378	38	1
ASV.1242	202	38	4
ASV.1243	346	38	3
ASV.1244	241	38	1
ASV.1248	328	38	1
ASV.1249	352	38	3
ASV.1253	328	38	1
ASV.1254	325	38	1
ASV.1255	259	38	2
ASV.1257	328	38	1
ASV.1258	359	38	1
ASV.1259	364	38	1
ASV.1260	308	38	1
ASV.1261	328	38	1
ASV.1266	351	37	2
ASV.1269	348	37	3
ASV.1270	249	37	3
ASV.1271	202	37	2
ASV.1272	359	37	1
ASV.1273	276	37	3
ASV.1274	325	37	1
ASV.1275	285	37	1
ASV.1276	314	37	1
ASV.1279	296	37	1
ASV.1280	262	37	2
ASV.1281	328	37	1
ASV.1282	323	37	1
ASV.1284	307	37	1
ASV.1285	336	37	1
ASV.1286	226	37	2
ASV.1287	333	37	1
ASV.1288	199	37	1
ASV.1290	262	37	1
ASV.1291	274	36	2
ASV.1292	229	36	2
ASV.1295	337	36	4
ASV.1298	360	36	1
ASV.1299	281	36	2
ASV.1300	320	36	2
ASV.1301	277	36	2
ASV.1305	280	36	1
ASV.1308	369	36	2
ASV.1309	240	36	1
ASV.1310	336	36	1
ASV.1312	250	35	2
ASV.1317	262	35	2
ASV.1318	343	35	1
ASV.1324	212	35	1
ASV.1325	360	35	1
ASV.1328	295	35	1
ASV.1330	260	35	1
ASV.1332	292	34	3
ASV.1337	264	34	1
ASV.1338	244	34	2
ASV.1341	277	34	1
ASV.1342	204	34	3
ASV.1344	222	34	2
ASV.1347	328	34	1
ASV.1348	328	34	1
ASV.1349	364	34	1
ASV.1350	328	34	1
ASV.1351	265	34	1
ASV.1352	243	34	1
ASV.1354	328	34	1
ASV.1355	247	34	1
ASV.1356	311	34	1
ASV.1358	369	34	1
ASV.1364	344	33	2
ASV.1366	273	33	2
ASV.1368	231	33	3
ASV.1369	227	33	3
ASV.1370	360	33	1
ASV.1375	274	33	1
ASV.1376	291	33	3
ASV.1377	228	33	2
ASV.1378	375	33	2
ASV.1379	328	33	1
ASV.1380	328	33	1
ASV.1381	325	33	1
ASV.1382	328	33	1
ASV.1383	325	33	1
ASV.1384	328	33	1
ASV.1386	294	33	1
ASV.1388	325	33	1
ASV.1390	273	33	1
ASV.1391	208	33	1
ASV.1392	196	33	1
ASV.1396	206	32	3
ASV.1397	337	32	1
ASV.1398	218	32	2
ASV.1399	307	32	2
ASV.1400	348	32	4
ASV.1402	325	32	1
ASV.1403	325	32	1
ASV.1405	232	32	1
ASV.1407	330	32	2
ASV.1408	317	32	1
ASV.1409	318	32	1
ASV.1410	327	32	1
ASV.1411	258	32	1
ASV.1412	217	32	1
ASV.1414	369	32	2
ASV.1418	216	32	1
ASV.1419	323	32	1
ASV.1424	211	31	2
ASV.1425	339	31	1
ASV.1426	344	31	3
ASV.1427	264	31	1
ASV.1428	234	31	1
ASV.1429	223	31	3
ASV.1430	210	31	1
ASV.1432	288	31	1
ASV.1433	288	31	1
ASV.1435	328	31	1
ASV.1436	211	31	1
ASV.1437	347	31	1
ASV.1438	310	31	1
ASV.1439	202	31	2
ASV.1441	247	31	2
ASV.1442	274	31	2
ASV.1443	201	31	1
ASV.1446	319	30	3
ASV.1449	202	30	2
ASV.1450	340	30	1
ASV.1451	198	30	2
ASV.1452	234	30	2
ASV.1453	260	30	3
ASV.1454	256	30	2
ASV.1456	205	30	1
ASV.1458	197	30	2
ASV.1459	356	30	2
ASV.1460	328	30	1
ASV.1461	328	30	1
ASV.1462	307	30	1
ASV.1463	257	30	1
ASV.1464	328	30	1
ASV.1465	347	30	1
ASV.1466	197	30	1
ASV.1467	312	30	1
ASV.1468	322	30	1
ASV.1471	223	29	3
ASV.1472	350	29	2
ASV.1473	256	29	1
ASV.1474	337	29	1
ASV.1476	373	29	1
ASV.1477	294	29	1
ASV.1478	369	29	1
ASV.1479	281	29	1
ASV.1480	351	29	1
ASV.1481	303	29	3
ASV.1482	299	29	1
ASV.1484	245	29	3
ASV.1485	315	29	1
ASV.1486	328	29	1
ASV.1488	368	29	1
ASV.1489	223	29	3
ASV.1490	253	29	3
ASV.1491	375	29	1
ASV.1492	293	29	2
ASV.1494	260	29	1
ASV.1495	313	29	2
ASV.1497	328	29	1
ASV.1498	196	29	1
ASV.1499	340	29	1
ASV.1500	328	29	1
ASV.1501	311	29	1
ASV.1502	368	29	1
ASV.1503	219	29	1
ASV.1504	303	28	2
ASV.1505	319	28	2
ASV.1506	335	28	2
ASV.1509	304	28	2
ASV.1511	325	28	1
ASV.1513	273	28	1
ASV.1517	218	28	1
ASV.1518	315	28	1
ASV.1519	255	28	2
ASV.1521	325	28	1
ASV.1522	311	28	1
ASV.1523	285	28	1
ASV.1526	316	28	2
ASV.1527	329	28	2
ASV.1528	209	28	1
ASV.1529	328	28	1
ASV.1531	214	28	1
ASV.1532	243	28	1
ASV.1534	277	28	1
ASV.1539	284	27	3
ASV.1540	327	27	2
ASV.1541	358	27	2
ASV.1542	310	27	3
ASV.1543	281	27	1
ASV.1544	360	27	1
ASV.1545	360	27	1
